"","year","first_quartile","median","third_quartile"
"1","1989","21","29","48"
"2","1990","21","29","49"
"3","1991","20","28","46"
"4","1992","20","27","43"
"5","1993","20","28","47"
"6","1994","21","29","49"
"7","1995","21","30","51"
"8","1996","22","32","56"
"9","1997","21","31","54"
"10","1998","22","34","61"
"11","1999","22","35","62"
"12","2000","23","36","65"
"13","2001","22","34","60"
"14","2002","22","32","56"
"15","2003","22","34","60"
"16","2004","23","36","64"
"17","2005","23","36","65"
"18","2006","24","37","67"
"19","2007","24","38","70"
"20","2008","24","38","71"
